id,source,target,main_stat,detail__tx,detail__rx,detail__loss_pct,detail__avg_rtt_ms,status
ap1-ap2,ap1,ap2,,4.0,4.0,0.0,0.12,up
ap1-sta1,ap1,sta1,,4.0,4.0,0.0,4.348,up
ap1-sta2,ap1,sta2,,4.0,0.0,100.0,0.0,loss
ap1-sta3,ap1,sta3,,4.0,0.0,100.0,0.0,loss
ap1-sta4,ap1,sta4,,4.0,0.0,100.0,0.0,loss
ap2-ap1,ap2,ap1,,4.0,4.0,0.0,0.101,up
ap2-sta1,ap2,sta1,,4.0,4.0,0.0,4.45,up
ap2-sta2,ap2,sta2,,4.0,0.0,100.0,0.0,loss
ap2-sta3,ap2,sta3,,4.0,0.0,100.0,0.0,loss
ap2-sta4,ap2,sta4,,4.0,0.0,100.0,0.0,loss
sta1-ap1,sta1,ap1,,4.0,4.0,0.0,0.107,up
sta1-ap2,sta1,ap2,,4.0,4.0,0.0,0.061,up
sta2-ap1,sta2,ap1,,4.0,4.0,0.0,0.132,up
sta2-ap2,sta2,ap2,,4.0,4.0,0.0,0.067,up
sta3-ap1,sta3,ap1,,4.0,4.0,0.0,0.085,up
sta3-ap2,sta3,ap2,,4.0,4.0,0.0,0.049,up
sta4-ap1,sta4,ap1,,4.0,4.0,0.0,0.088,up
sta4-ap2,sta4,ap2,,4.0,4.0,0.0,0.044,up
